0.00122, 0.00098
0.00204, 0.00098
0.00285, 0.00272
0.00366, 0.00272
0.00448, 0.00272
0.00543, 0.00446
0.00624, 0.00332
0.00705, 0.00362
0.00787, 0.00451
0.00868, 0.00451
0.00950, 0.00451
0.01044, 0.00715
0.01126, 0.00925
0.01207, 0.00985
0.01289, 0.01254
0.01370, 0.01403
0.01451, 0.01672
0.01533, 0.01971
0.01614, 0.02211
0.01695, 0.02510
0.01777, 0.02809
0.01858, 0.03167
0.01939, 0.03556
0.02021, 0.03975
0.02102, 0.04393
0.02184, 0.04872
0.02265, 0.05380
0.02346, 0.05918
0.02428, 0.06486
0.02509, 0.07054
0.02590, 0.07712
0.02672, 0.08340
0.02753, 0.08998
0.02834, 0.09775
0.02916, 0.10493
0.02997, 0.11270
0.03079, 0.12108
0.03160, 0.12945
0.03241, 0.13782
0.03323, 0.14649
0.03404, 0.15576
0.03485, 0.16503
0.03567, 0.17400
0.03648, 0.18357
0.03730, 0.19374
0.03811, 0.20301
0.03892, 0.21317
0.03974, 0.22274
0.04055, 0.23321
0.04136, 0.24247
0.04218, 0.25264
0.04299, 0.26221
0.04380, 0.27208
0.04462, 0.28135
0.04543, 0.29062
0.04625, 0.29929
0.04706, 0.30796
0.04787, 0.31603
0.04869, 0.32381
0.04950, 0.33068
0.05031, 0.33726
0.05113, 0.34324
0.05194, 0.34832
0.05275, 0.35281
0.05357, 0.35580
0.05438, 0.35789
0.05520, 0.35849
0.05601, 0.35939
0.05682, 0.35789
0.05764, 0.35550
0.05845, 0.35131
0.05926, 0.34563
0.06008, 0.33756
0.06089, 0.32829
0.06170, 0.31633
0.06252, 0.30287
0.06333, 0.28643
0.06415, 0.26759
0.06489, 0.24774
0.06557, 0.22657
0.06625, 0.20540
0.06686, 0.18252
0.06740, 0.16099
0.06794, 0.13902
0.06842, 0.11570
0.06889, 0.09327
0.06937, 0.06905
0.06977, 0.04632
0.07018, 0.02181
0.07052, 0.00303
0.07086, -0.02015
0.07126, -0.04517
0.07147, -0.06311
0.07179, -0.08416
0.07201, -0.10677
0.07228, -0.12605
