0.00156, 0.00098
0.00305, 0.00098
0.00451, 0.00272
0.00604, 0.00321
0.00753, 0.00403
0.00902, 0.00451
0.01057, 0.00751
0.01200, 0.01017
0.01350, 0.01376
0.01499, 0.01849
0.01648, 0.02338
0.01797, 0.02909
0.01946, 0.03578
0.02095, 0.04361
0.02245, 0.05258
0.02394, 0.06253
0.02543, 0.07329
0.02692, 0.08503
0.02841, 0.09824
0.02990, 0.11211
0.03140, 0.12727
0.03289, 0.14293
0.03438, 0.15957
0.03587, 0.17653
0.03736, 0.19431
0.03885, 0.21225
0.04035, 0.23035
0.04184, 0.24846
0.04333, 0.26640
0.04482, 0.28352
0.04631, 0.30016
0.04780, 0.31532
0.04930, 0.32902
0.05079, 0.34077
0.05228, 0.35023
0.05377, 0.35642
0.05526, 0.35871
0.05675, 0.35806
0.05825, 0.35218
0.05974, 0.34109
0.06123, 0.32348
0.06272, 0.29869
0.06421, 0.26558
0.06557, 0.22673
0.06665, 0.19028
0.06760, 0.15286
0.06848, 0.11270
0.06930, 0.07264
0.07004, 0.02994
0.07065, -0.00663
0.07120, -0.04218
0.07174, -0.08255
0.07228, -0.12067
